가수,제목,발매일,장르,가사
Ava Max,So Am I,2019.03.08,POP,Do you ever feel like a misfitEverything inside youis dark and twistedOh but it's okay to be different'Cause baby so am ISo am I so am I so am I-I-I-I-ICan you hear the whispersall across the roomYou feel her eyes all over youlike cheap perfumeYou're beautifulbut misunderstoodSo why you tryna bejust like the neighborhoodI can see it I knowwhat you're feelin'So let me tell you 'boutmy little secretI'm a little crazy underneath thisUnderneath thisDo you ever feel like a misfitEverything inside youis dark and twistedOh but it's okay to be different'Cause baby so am ISo am I so am I so am IDo you ever feel like an outcastYou don't have to fit into the formatOh but it's okay to be different'Cause baby so am ISo am I so am I so am I-I-I-I-IOh so dressed so fancy likeSid and NancyYeahWalkin' Killer Queengotta keep 'em guessin'So baby come pass me a lighterWe're gonna leave 'em on fireWe're the sinners and the blessingsI can see it I knowwhat you're feelin'So let me tell you 'boutmy little secretI'm a little crazy underneath thisUnderneath this oohDo you ever feel like a misfitEverything inside youis dark and twistedOh but it's okay to be different'Cause baby so am ISo am I so am I so am IDo you ever feel like an outcastYou don't have to fit into the formatOh but it's okay to be different'Cause baby so am ISo am I so am I so am I-I-I-I-IAh-ah-ahYou're king and you're queenYou're strong and you're weakYou're bound but so freeAh-ah-ahSo come and join meAnd call me HarleyAnd we'll make a sceneDo you ever feel like a misfitEverything inside youis dark and twistedOh but it's okay to be different'Cause baby so am ISo am I so am I so am IDo you ever feel like an outcastYou don't have to fit into the formatOh but it's okay to be different'Cause baby so am ISo am I so am I so am I-I-I-I-I
salem ilese,Coke & Mentos,2020.11.17,POP,You take me back to the third gradeHolding hands on a playdate oh oh ohTongues tied like a shoelaceHeart beats like a horse raceAlmost failed out of chem classOnly learned all the fun facts oh oh ohMaking wine in the school labGetting high on the black pensYou remind me of an experimentAnd I don't meanVolcanoes or lava lamps noWhen we touch it's Coke and Mentos Eee-yeah ee-yeah Blowing up until we let go Eee-yeah ee-yeah Whеn we touch it's Coke and Mentos Eee-yеah ee-yeah Blowing up until we let go Eee-yeah ee-yeah Blowing up up up but we still won't let goBottled up my emotions'Til you twisted me open oh oh ohTook a sip of my oceanStarted dipping your toes inInstantly reacting to your skinOne day it'll hurt to let you inIt's not the fall that kills you in the endBut we're sticking the landingPrimis Player PlaceholderYou remind me of an experimentAnd I don't meanVolcanoes or lava lamps noWhen we touch it's Coke and Mentos Eee-yeah ee-yeah Blowing up until we let go Eee-yeah ee-yeah When we touch it's Coke and Mentos Eee-yeah ee-yeah Blowing up until we let go Eee-yeah ee-yeah Blowing up up up but we still won't let goLa-la la-la la-la-la la-la-la-la la-laStill won't let goLa-la la-la la-la-la la-la-la-la la-laOh ooh-ooh oh ooh-ooh ooh ooh ooh oohLa-la la-la la-la-la la-la-la-la la-laBlowing up up up but we still won't let go
Backstreet Boys,I Want It That Way,1999.05.04,POP,"You are my fire나의 정열이자The one desire단 하나의 바램인 당신 Believe when I sayI want it that way그대로가 좋다고 말할때는믿어주세요But we are two worlds apart그러나 우리는 두 세계에 떨어져있어요Can't reach to your heart당신의 마음에 다가갈 수가 없죠When you sayThat I want it that way당신이 이대로가 좋다고 말한다면Tell me why말해주세요Ain't nothin' but a heartache왜 고민뿐인지를요 Tell me why말해주세요Ain't nothin' but a mistake왜 걱정뿐인지Tell me why말해주세요I never wanna hear you sayI want it that way이대로가 좋다는 말은듣고 싶지 않아요Am I your fire내가 당신의 정열이자Your one desire당신의 단하나의 바램인가요?Yes I know it's too late그래요 난 알아요 늦었다는것을 But I want it that way그러나 나는 우리가 사랑할때가 조았아요Now I can see that we've falling apart이제 예전 모습에서 From the way that it used to be, yeah무너져가는 우리의 사랑이 보여요No matter the distance우리의 거리는 문제가 되지않아요I want you to know thatDeep down inside of me나는 당신이나의 내면의 깊은곳을 알아주길바래요 You are my fire나의 정열이자The one desire단 하나의 바램인 당신 You are, you are, you are, you are당신은 당신은 당신은 당신은Don't wanna hear you say...그런말 듣고싶지않아요Ain't nothin' but a heartache왜 고민뿐인가요 Ain't nothin' but a mistakeI wanna hear you say왜 실수뿐인가요나는 당신이 말하는것을 듣길 원해요I never wanna hear you say (oh yeah)I want it that way지금 이대로가 좋다는 말을나는 듣기 싫어요"
Sandro Cavazza,Love To Lose,2021.02.19,POP,Some days I reallywanna hate you'Cause you alwaysknow just what to sayBy now I knowthe words to break youAnd you knowwhat breaks me tooWhen things get heatedWe say things we don't mean thenThough we know they ain't trueSay you're leavingGet careless with our feelingsWhat's the worst we can doI didn't tell you all my secretsjust to pull my heart outI didn't take you to my familyjust to show you the houseI didn't work this hard to getthis far then leave it so soonI didn't love to losesomebody like youLove to lose somebody like youSome nights we're closer than everSometimes we're runningout of spaceWhen we're high itcan't get any betterUntil we come down againThings get heatedWe say things we don't mean thenThough we know they ain't trueSay you're leavingGet careless with our feelingsWhat's the worst we can doI didn't tell you all my secretsjust to pull my heart outI didn't take you to my familyjust to show you the houseI didn't work this hard to getthis far then leave it so soonI didn't love to losesomebody like youSomebody like youSomebody like youThings get heatedWe say things we don't mean thenThough we know they ain't trueI didn't tell you all my secretsjust to pull my heart outI didn't take you to my familyjust to show you the houseI didn't work this hard to get thisfar then leave it so soonI didn't love to losesomebody like youSomebody like youSomebody somebody like youSomebody like youSomebody somebody like youI didn't love to losesomebody like youSomebody like you
Lukas Graham,Happy For You,2021.05.14,POP,Once you left I went to spaceI don't recognize this placeWhere are you where are youNow I miss the smallest thingsI'm not ready for this changeWhere are you where are youCan't help but wonderAre you ready are you readyare you ready nowDo you forgive meam I something you can talk aboutI heard you're movingon and now you got it figured outWell I'm happy I'm happyI'm happy for youAre you really gonna tell methat you'rе better nowHey ain't it funny howwе swore we couldn't livewithout each otherNow you got anothergot it figured outWell I'm happy I'm happyI'm happy for youOoh-ooh ooh-ooh oohHappy for you ooh oohooh-ooh-ooh oohJust wanna be happy tooLove you hate you all the sameEither way it takes up spaceI had you I had youHaunted by the ghost of usSorry now I've said too muchI had to I had youCan't help but wonderAre you ready are you readyare you ready nowDo you forgive meam I something you can talk aboutI heard you're movingon and now you got it figured outWell I'm happy I'm happyI'm happy for youAre you really gonna tell methat you're better nowHey ain't it funny how we sworewe couldn't livewithout each otherNow you got anothergot it figured outWell I'm happy I'm happyI'm happy for youOoh-ooh ooh-ooh oohHappy for you ooh oohooh-ooh-ooh oohJust wanna be happy tooI've lived with allthis long enoughlong enoughDon't you still wonderif it could have been usAre you ready are you readyare you ready nowDo you forgive meam I something you can talk aboutI heard you're movingon and now you got it figured outI'm happy I'm happyI'm happy for youAre you really gonna tell methat you're better nowHey ain't it funny how we sworewe couldn't livewithout each otherNow you got anothergot it figured outWell I'm happy I'm happyI'm happy for youOoh-ooh ooh-ooh oohHappy for you ooh oohooh-ooh-ooh oohJust wanna be happy too
PRETTYMUCH (프리티머치),Summer on You,2018.06.22,POP,Baby I ain't got no moneyAll I got is timeAnd I'm gon' spendthat time on youBut when they pay meAnd I can buy the sunshineTake you awaywe'll drink champagneWhile holed up in a roomDarling I've been workingall week yeahI've got so much on my plateAlways saying poor meAlthough my boss is an a holeThat's when you call meSaid you've been making a planTo hit the road with me yeahI'll pick you up after andWe'll hit the coaston the late nightMake love 'til daylightI love it when you playwith my hairYou know it feels so niceAnd I'll do what you likeNaked in the moonlightWe don't care if we are brokeWhen love is all we ownI'm singin'Baby I ain't got no moneyAll I got is timeAnd I'm gon' spendthat time on youBut when they pay meAnd I can buy the sunshineTake you awaywe'll drink champagneWhile holed up in a roomAnd I'll spend my summer onYou ooh ooh ooh ooh oohOh I will spend my summer onYou ooh ooh ooh oohI'm singing hey babeTwo jobs on minimum wageAlthough the rent's lateStill got a smileon my face ha ha haWe ain't got the sunshineBut we got hearts in our chestTo feel the love like thisStronger than anyone elseWe'll hit the drive thrulike Lil' WayneWe ain't got no platinum chainsBut hand me downsare all the rage ayeSo let me spend this pocket changeWe'll drink beerlike it's champagne champagneWe'll stay out kissin' in the rainWe don't care if we are brokeWhen love is all we ownI'm singin'Baby I ain't got no moneyI ain't got no moneyAll I got is timeAnd I'm gon' spendthat time on youBut when they yeah pay meAnd I can buy the sunshineTake you awaywe'll drink champagneWhile holed up in a roomAnd I'll spend my summer onYou ooh ooh ooh ooh uhOh I will spend my summer onYou ooh ooh ooh oohOh I know babywe ain't got no moneyAll we got is loveBut I know that can see us throughIt might sound crazyBut why do we need sunshineWhen we can stay and sip warm beerWhile holed up in a roomThat's howwe spend my summer on youmy summer on you babyBaby I ain't got no moneyI ain't got no moneyAll I got is time heyAnd I'm gon' spendthat time on youBut when they pay meAnd I can buy the sunshineTake you awaywe'll drink champagneWhile holed up in a roomAnd I'll spend my summer onYou ooh ooh ooh ooh uhOh I will spend my summer on youYou ooh ooh ooh oohOh I will spend my summer on you
Lady Gaga,Poker Face,2008.01.01,POP,no lyrics
MAX,Butterflies,2021.06.25,POP,Mm mmYou could give me chillson a summer day yeahWhen we're layin' stillbut you make my heart raceGonna keep me youngwhen we're old and greyI know that time moves onbut some things don't changeI won't stop gettingbutterflies IGet 'em every timeI look into your eyesYou won't stop runnin'through my mindFor the rest of both our livesYou give me butterfliesAnd I keep on getting butterfliesI still fall in love with youevery time I see your eyesIt takes me backto the first time I saw you smileThey told uswe were young and dumbwe didn't know 'bout loveNow look at all the thingswe've becomeI won't stop gettingbutterflies IGet 'em every timeI look into your eyesYou won't stop runnin'through my mindFor the rest of both our livesYou give me butterfliesI keep on gettingKeep on gettingI keep on gettingKeep on gettingI keep on gettingKeep on gettingButterfliesAhh oohWhen you walk into the roomAhh oohI'm as nervous as the dayI met youAhh oohI've seen that dress on you beforeBut every time I doI swear it only makes melove you moreAnd I won't stopgetting butterflies IGet 'em every time yeahI get 'em every time II won't stop gettingbutterflies IGet 'em every timeI look into your eyesYou won't stop runnin'through my mindFor the rest of both our livesYou give me butterfliesI keep on gettingKeep on gettingI keep on gettingKeep on gettingI keep on gettingKeep on gettingButterfliesI keep on gettingButterflies
Ed Sheeran,Happier,2017.03.03,POP,Walking down 29th and parkI saw you in another's armsOnly a month we've been apartYou look happierSaw you walk inside a barHe said something to make you laughI saw that both your smiles were twice as wide as oursYeah you look happier you doAin't nobody hurt you like I hurt youBut ain't nobody love you like I doPromise that I will not take it personal babyIf you're moving on with someone newCause baby you look happier you doMy friends told me one day I'll feel it tooAnd until then I'll smile to hide the truthBut I know I was happier with youSat in the corner of the roomEverything's reminding me of youNursing an empty bottle and telling myself you're happierAren't youAin't nobody hurt you like I hurt youBut ain't nobody need you like I doI know that there's others that deserve youBut my darling I am still in love with youBut I guess you look happier you doMy friends told me one day I'll feel it tooI could try to smile to hide the truthBut I know I was happier with youBaby you look happier you doI knew one day you'd fall for someone newBut if he breaks your heart like lovers doJust know that I'll be waiting here for you
Calum Scott,You Are The Reason,2018.03.09,POP,There goes my heart beating'Cause you are the reasonI'm losing my sleepPlease come back nowThere goes my mind racingAnd you are the reasonThat I'm still breathingI'm hopeless nowI'd climb every mountainAnd swim every oceanJust to be with youAnd fix what I've brokenOh 'cause I need you to seeThat you are the reasonThere goes my hands shakingAnd you are the reasonMy heart keeps bleedingI need you nowIf I could turn back the clockI'd make sure the light defeated the darkI'd spend every hour of every dayKeeping you safeAnd I'd climb every mountainAnd swim every oceanJust to be with youAnd fix what I've brokenOh 'cause I need you to seeThat you are the reasonYou are the reasonI'm a little sadJust a little sadI'm a little sadI need you to hold me tonightI'd climb every mountainAnd swim every oceanJust to be with youAnd fix what I've broken'Cause I need you to seeThat you are the reason
